"","X1","date","Variable","mean_daily","sd_daily","station"
"1",1,2007-04-04,"DO_mgl",11.6242424242424,0.0494909631425862,"grbgbwq"
"2",5,2007-04-04,"SpCond",26.7818181818182,0.984127625016411,"grbgbwq"
"3",9,2007-04-05,"DO_Pct",100.590625,1.88699727358514,"grbgbwq"
"4",13,2007-04-05,"Temp",4.53541666666667,0.269294014516116,"grbgbwq"
"5",17,2007-04-06,"pH",8.06979166666667,0.0542455632780433,"grbgbwq"
"6",21,2007-04-06,"Turb",3.79166666666667,4.10583951940684,"grbgbwq"
"7",25,2007-04-07,"Sal",16.0885416666667,1.00813956450786,"grbgbwq"
"8",29,2007-04-08,"DO_mgl",12.125,0.207197107810072,"grbgbwq"
"9",33,2007-04-08,"SpCond",25.5046875,2.21647081020505,"grbgbwq"
"10",37,2007-04-09,"DO_Pct",102.255208333333,1.96383424916952,"grbgbwq"
"11",41,2007-04-09,"Temp",4.4,0.2650116885167,"grbgbwq"
"12",45,2007-04-10,"pH",8.140625,0.0569780616690295,"grbgbwq"
"13",49,2007-04-10,"Turb",3.73958333333333,2.81502149774736,"grbgbwq"
"14",53,2007-04-11,"Sal",15.7947916666667,1.10908105369952,"grbgbwq"
"15",57,2007-04-12,"DO_mgl",12.5489583333333,0.172627582413474,"grbgbwq"
"16",61,2007-04-12,"SpCond",26.5988541666667,1.34017528836286,"grbgbwq"
"17",65,2007-04-13,"DO_Pct",106.46875,2.29689808242377,"grbgbwq"
"18",69,2007-04-13,"Temp",5.021875,0.28479885444982,"grbgbwq"
"19",73,2007-04-14,"pH",8.23229166666667,0.0653539486832133,"grbgbwq"
"20",77,2007-04-14,"Turb",11.3229166666667,57.9531010677526,"grbgbwq"
"21",81,2007-04-15,"Sal",15.8364583333333,1.17927349974127,"grbgbwq"
"22",85,2007-04-16,"DO_mgl",11.4864583333333,0.153878191355641,"grbgbwq"
"23",89,2007-04-16,"SpCond",24.5276041666667,2.76608901563531,"grbgbwq"
"24",93,2007-04-17,"DO_Pct",96.1916666666667,1.04665920695109,"grbgbwq"
"25",97,2007-04-17,"Temp",5.1375,0.172781561301422,"grbgbwq"
"26",101,2007-04-18,"pH",7.17916666666667,0.142849389626948,"grbgbwq"
"27",105,2007-04-18,"Turb",14.0520833333333,3.1475009426322,"grbgbwq"
"28",109,2007-04-19,"Sal",3.028125,0.696787530212654,"grbgbwq"
"29",113,2007-04-20,"DO_mgl",12.009375,0.143694110509044,"grbgbwq"
"30",117,2007-04-20,"SpCond",5.96385416666667,1.66803971337647,"grbgbwq"
"31",121,2007-04-21,"DO_Pct",99.5864583333333,0.760554020646749,"grbgbwq"
"32",125,2007-04-21,"Temp",7.17395833333333,0.67822739699941,"grbgbwq"
"33",129,2007-04-22,"pH",7.209375,0.151460920008456,"grbgbwq"
"34",133,2007-04-22,"Turb",5.95833333333333,1.77931479560666,"grbgbwq"
"35",137,2007-04-23,"Sal",7.365625,0.91265747493686,"grbgbwq"
"36",141,2007-04-24,"DO_mgl",10.34375,0.179619337711656,"grbgbwq"
"37",145,2007-04-24,"SpCond",13.8316666666667,1.75614548859073,"grbgbwq"
"38",149,2007-04-25,"DO_Pct",95.8072916666667,0.777172832817708,"grbgbwq"
"39",153,2007-04-25,"Temp",11.00625,0.814049539374706,"grbgbwq"
"40",157,2007-04-26,"pH",7.50729166666667,0.0857033015657666,"grbgbwq"
"41",161,2007-04-26,"Turb",2.92708333333333,1.19257262184491,"grbgbwq"
"42",165,2007-04-27,"Sal",11.8010416666667,1.23666928367379,"grbgbwq"
"43",169,2007-04-28,"DO_mgl",9.509375,0.0480488734145252,"grbgbwq"
"44",173,2007-04-28,"SpCond",21.3541666666667,1.87102225558848,"grbgbwq"
"45",177,2007-04-29,"DO_Pct",90.98125,0.614563299827836,"grbgbwq"
"46",181,2007-04-29,"Temp",10.1260416666667,0.238193479600273,"grbgbwq"
"47",185,2007-04-30,"pH",7.55416666666667,0.0575938537671405,"grbgbwq"
"48",189,2007-04-30,"Turb",2.02083333333333,1.26659182741201,"grbgbwq"
"49",193,2007-05-01,"Sal",12.890625,1.18702005331351,"grbgbwq"
